PopName,Area,Year,YearReg,Age,AgeInt,Lexis,BirthOrder,OrderInt,PrevBirth,DurInt,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
SWE,1,1791,1791,40,5,RR,TOT,.,.,.,2,6317,O,.,.,.,11,0
SWE,1,1791,1791,45,5,RR,TOT,.,.,.,2,1256,O,.,.,.,11,0
SWE,1,1791,1791,50,+,RR,TOT,.,.,.,2,36,O,.,.,.,11,0
SWE,1,1791,1791,UNK,.,.,TOT,.,.,.,2,701,O,.,.,.,11,0
SWE,1,1791,1791,TOT,.,.,TOT,.,.,.,2,72471,O,.,.,.,11,0
SWE,1,1792,1792,19,-,RR,TOT,.,.,.,2,1982,O,.,.,.,11,0
SWE,1,1792,1792,20,5,RR,TOT,.,.,.,2,11705,O,.,.,.,11,0
SWE,1,1792,1792,25,5,RR,TOT,.,.,.,2,19851,O,.,.,.,11,0
SWE,1,1792,1792,30,5,RR,TOT,.,.,.,2,20704,O,.,.,.,11,0
SWE,1,1792,1792,35,5,RR,TOT,.,.,.,2,17657,O,.,.,.,11,0
SWE,1,1792,1792,40,5,RR,TOT,.,.,.,2,7508,O,.,.,.,11,0
SWE,1,1792,1792,45,5,RR,TOT,.,.,.,2,1463,O,.,.,.,11,0
SWE,1,1792,1792,50,+,RR,TOT,.,.,.,2,30,O,.,.,.,11,0
SWE,1,1792,1792,UNK,.,.,TOT,.,.,.,2,958,O,.,.,.,11,0
SWE,1,1792,1792,TOT,.,.,TOT,.,.,.,2,81858,O,.,.,.,11,0
SWE,1,1793,1793,19,-,RR,TOT,.,.,.,2,1921,O,.,.,.,11,0
SWE,1,1793,1793,20,5,RR,TOT,.,.,.,2,11438,O,.,.,.,11,0
SWE,1,1793,1793,25,5,RR,TOT,.,.,.,2,19975,O,.,.,.,11,0
SWE,1,1793,1793,30,5,RR,TOT,.,.,.,2,20151,O,.,.,.,11,0
SWE,1,1793,1793,35,5,RR,TOT,.,.,.,2,14386,O,.,.,.,11,0
SWE,1,1793,1793,40,5,RR,TOT,.,.,.,2,7173,O,.,.,.,11,0
SWE,1,1793,1793,45,5,RR,TOT,.,.,.,2,1263,O,.,.,.,11,0
SWE,1,1793,1793,50,+,RR,TOT,.,.,.,2,20,O,.,.,.,11,0
SWE,1,1793,1793,UNK,.,.,TOT,.,.,.,2,1662,O,.,.,.,11,0
SWE,1,1793,1793,TOT,.,.,TOT,.,.,.,2,77989,O,.,.,.,11,0
SWE,1,1794,1794,19,-,RR,TOT,.,.,.,2,2070,O,.,.,.,11,0
SWE,1,1794,1794,20,5,RR,TOT,.,.,.,2,11399,O,.,.,.,11,0
SWE,1,1794,1794,25,5,RR,TOT,.,.,.,2,19791,O,.,.,.,11,0
SWE,1,1794,1794,30,5,RR,TOT,.,.,.,2,20282,O,.,.,.,11,0
SWE,1,1794,1794,35,5,RR,TOT,.,.,.,2,14242,O,.,.,.,11,0
SWE,1,1794,1794,40,5,RR,TOT,.,.,.,2,7240,O,.,.,.,11,0
SWE,1,1794,1794,45,5,RR,TOT,.,.,.,2,1271,O,.,.,.,11,0
SWE,1,1794,1794,50,+,RR,TOT,.,.,.,2,24,O,.,.,.,11,0
SWE,1,1794,1794,UNK,.,.,TOT,.,.,.,2,1143,O,.,.,.,11,0
